category,storage_type,quantity,purchase_temperature_c,moisture_level,perishability_index,household_usage_speed,shelf_life_days,wasted
cooked leftovers,fridge,3,2.2,0.594,9.1,0.278,3,0
packaged snacks,pantry,1,23.6,0.075,1.75,0.905,51,0
chicken (raw),freezer,4,-17.9,0.659,10.0,0.968,7,0
packaged snacks,pantry,3,22.9,0.0,1.0,0.352,42,1
chicken (raw),fridge,2,3.8,0.645,10.0,0.816,2,0
tomato,pantry,4,24.5,0.611,7.34,0.881,4,0
root vegetables,fridge,3,4.9,0.229,2.07,0.738,17,0
packaged snacks,pantry,1,24.2,0.08,1.0,0.562,46,0
cooked leftovers,freezer,6,-18.4,0.614,9.5,0.527,11,0
cheese,fridge,5,4.3,0.392,2.73,0.787,24,0
fish (raw),fridge,3,3.6,0.772,10.0,0.63,2,0
tomato,fridge,3,4.3,0.751,7.22,0.144,7,1
milk,fridge,3,3.3,0.952,8.24,0.43,7,0
eggs,pantry,2,19.8,0.202,2.69,0.725,17,0
citrus,fridge,4,5.7,0.429,4.33,0.873,14,0
berries,freezer,3,-17.6,0.758,8.91,0.226,17,1
packaged snacks,pantry,2,25.5,0.045,1.07,0.872,61,0
bread,freezer,2,-18.9,0.286,6.23,0.486,19,0
tomato,pantry,3,24.7,0.701,6.78,0.496,4,0
bread,pantry,1,24.1,0.356,6.84,0.779,3,0
chicken (raw),freezer,1,-17.1,0.694,10.0,0.581,7,0
yogurt,fridge,3,4.2,0.74,5.05,0.565,9,0
chicken (raw),fridge,3,3.7,0.551,10.0,0.584,2,1
bread,freezer,2,-15.8,0.328,6.98,0.231,17,1
citrus,fridge,2,5.7,0.466,4.6,0.807,13,0
bread,pantry,1,23.7,0.401,7.09,0.928,3,0
chicken (raw),freezer,5,-16.1,0.708,10.0,0.234,7,1
leafy greens,fridge,3,3.6,0.909,9.01,0.827,5,0
yogurt,fridge,3,6.6,0.738,6.03,0.839,10,0
tomato,pantry,4,23.2,0.723,6.85,0.913,3,0
cooked leftovers,fridge,2,4.8,0.565,8.88,0.867,3,0
chicken (raw),fridge,2,5.0,0.511,10.0,0.391,2,0
berries,fridge,2,3.1,0.821,8.9,0.221,4,0
tomato,fridge,3,6.9,0.761,6.6,0.546,7,1
packaged snacks,fridge,1,3.4,0.022,1.0,0.845,106,0
leafy greens,fridge,3,3.8,0.826,9.09,0.447,5,0
berries,fridge,6,4.3,0.731,9.11,0.435,5,0
cheese,fridge,5,2.7,0.301,3.51,0.456,18,0
leafy greens,fridge,3,3.0,0.893,7.9,0.529,5,0
chicken (raw),freezer,3,-14.8,0.647,9.33,0.839,7,0
apple,fridge,3,2.2,0.549,3.95,0.627,18,0
banana,fridge,3,4.7,0.632,8.18,0.906,4,0
rice (cooked),fridge,5,0.1,0.653,6.55,0.904,3,0
berries,freezer,2,-17.7,0.736,8.83,0.32,18,1
rice (cooked),pantry,4,21.9,0.522,7.87,0.235,2,1
yogurt,fridge,1,6.2,0.684,5.44,0.62,9,0
chicken (raw),fridge,2,3.6,0.577,10.0,0.862,2,0
packaged snacks,pantry,7,23.0,0.0,1.0,0.706,44,0
rice (cooked),fridge,3,3.6,0.518,6.6,0.778,3,0
root vegetables,freezer,3,-17.9,0.226,3.81,0.721,79,0
banana,pantry,4,25.6,0.562,7.62,0.921,2,0
packaged snacks,pantry,8,25.6,0.038,1.0,0.654,41,0
root vegetables,freezer,2,-18.3,0.247,2.18,0.541,72,0
citrus,pantry,5,23.3,0.438,3.86,0.852,8,0
packaged snacks,pantry,2,24.3,0.017,1.0,0.233,69,1
leafy greens,pantry,4,22.2,0.907,8.98,0.867,2,0
eggs,fridge,4,5.5,0.171,2.11,0.527,26,0
root vegetables,fridge,2,4.6,0.307,2.96,0.541,22,0
leafy greens,fridge,4,6.5,0.899,7.92,0.483,4,0
berries,fridge,5,6.2,0.805,8.72,0.533,6,0
citrus,pantry,3,26.1,0.312,3.83,0.673,8,1
chicken (raw),fridge,3,2.6,0.699,9.31,0.82,3,0
fish (raw),fridge,4,6.2,0.708,9.88,0.233,2,0
root vegetables,fridge,1,2.5,0.309,3.18,0.793,21,0
packaged snacks,pantry,1,25.3,0.041,1.4,0.679,40,0
leafy greens,fridge,1,3.5,0.936,8.5,0.818,5,0
cheese,freezer,3,-17.8,0.261,3.34,0.586,75,1
milk,freezer,3,-18.8,0.921,7.96,0.461,24,0
tomato,fridge,6,5.6,0.652,7.01,0.18,8,0
citrus,freezer,1,-16.0,0.393,4.95,0.264,50,1
cooked leftovers,freezer,1,-16.6,0.543,9.62,0.958,11,0
milk,freezer,1,-16.4,0.939,8.71,0.852,26,0
banana,pantry,3,23.0,0.527,8.73,0.559,3,0
packaged snacks,pantry,2,24.9,0.098,1.0,1.0,57,0
bread,pantry,2,23.4,0.308,6.5,0.833,1,0
banana,freezer,5,-15.4,0.583,7.72,0.258,17,0
citrus,fridge,3,5.3,0.423,5.11,0.511,14,0
citrus,pantry,4,22.0,0.366,4.21,0.325,8,1
yogurt,fridge,2,4.9,0.76,6.55,0.529,7,0
citrus,pantry,3,25.1,0.341,3.43,0.22,9,1
bread,freezer,3,-15.5,0.158,6.52,0.894,17,0
citrus,fridge,3,4.0,0.313,4.23,0.763,12,0
leafy greens,fridge,1,6.2,0.793,8.77,0.738,5,0
cooked leftovers,freezer,2,-17.8,0.621,8.93,0.277,10,1
yogurt,fridge,5,5.8,0.719,5.74,0.6,11,0
leafy greens,fridge,4,4.9,0.819,7.75,0.627,5,0
cheese,freezer,4,-19.6,0.421,3.2,0.825,72,0
citrus,fridge,4,3.7,0.384,4.1,0.851,12,0
cheese,fridge,3,2.6,0.267,3.41,0.535,24,0
fish (raw),freezer,3,-14.3,0.565,9.95,0.238,7,1
bread,pantry,1,20.5,0.4,6.68,0.974,3,0
rice (cooked),pantry,2,22.4,0.537,6.14,0.881,3,0
milk,fridge,1,3.3,0.846,7.86,0.495,7,1
citrus,fridge,2,2.5,0.4,3.75,0.563,16,0
yogurt,freezer,4,-19.7,0.728,6.12,0.688,33,0
eggs,freezer,7,-20.6,0.246,1.95,0.496,93,1
leafy greens,pantry,4,22.8,0.876,9.16,0.592,3,0
cheese,fridge,6,2.2,0.437,3.77,0.452,21,0
root vegetables,freezer,5,-18.0,0.237,2.42,0.658,73,0
packaged snacks,pantry,2,22.0,0.0,1.0,0.515,42,1
eggs,freezer,2,-17.4,0.122,2.76,0.818,100,0
bread,pantry,2,22.4,0.317,6.77,0.846,3,0
packaged snacks,pantry,7,22.8,0.0,2.17,0.47,52,0
tomato,fridge,4,3.2,0.769,6.95,0.364,8,0
leafy greens,fridge,2,5.8,0.944,8.99,1.0,4,0
cheese,fridge,2,6.3,0.354,2.86,0.326,23,1
bread,fridge,2,3.7,0.293,6.39,0.431,5,0
packaged snacks,pantry,1,22.7,0.058,1.0,0.524,60,0
eggs,pantry,4,22.9,0.157,2.05,0.191,13,1
rice (cooked),freezer,2,-17.9,0.666,7.32,0.233,13,0
apple,fridge,1,2.0,0.52,3.29,0.781,24,0
cooked leftovers,fridge,4,4.3,0.53,9.41,0.244,3,0
tomato,fridge,5,3.2,0.718,7.07,0.599,9,0
root vegetables,fridge,2,4.9,0.214,2.9,0.571,22,1
banana,pantry,10,26.6,0.604,8.1,0.474,2,0
yogurt,freezer,1,-19.0,0.689,5.74,0.626,35,0
cooked leftovers,fridge,3,4.1,0.624,8.27,0.439,3,0
packaged snacks,pantry,5,22.1,0.03,1.0,0.508,51,0
tomato,fridge,1,6.2,0.765,7.1,0.555,7,0
packaged snacks,pantry,2,23.8,0.009,1.55,0.82,26,0
chicken (raw),freezer,3,-16.9,0.664,10.0,0.733,7,0
packaged snacks,pantry,6,24.6,0.016,1.31,0.524,52,0
milk,freezer,3,-21.4,0.929,7.83,0.311,24,1
fish (raw),fridge,3,5.3,0.698,9.48,0.547,2,0
eggs,freezer,1,-16.1,0.134,2.28,0.274,98,1
root vegetables,freezer,5,-16.5,0.308,3.09,0.435,75,0
berries,pantry,2,23.8,0.78,8.6,0.52,3,0
fish (raw),fridge,2,3.2,0.865,10.0,0.519,2,1
bread,fridge,3,5.5,0.322,6.78,0.568,6,0
packaged snacks,pantry,1,23.3,0.029,1.17,0.454,57,1
cheese,fridge,5,3.9,0.333,2.76,0.519,21,0
fish (raw),freezer,7,-18.9,0.736,9.55,0.908,7,0
root vegetables,fridge,1,4.8,0.254,2.74,0.553,23,0
cheese,fridge,6,3.4,0.302,2.26,0.537,21,0
apple,fridge,3,2.1,0.477,3.53,0.632,19,1
berries,fridge,3,3.6,0.855,8.53,0.913,4,0
rice (cooked),pantry,1,22.3,0.502,6.95,0.8,2,0
yogurt,freezer,1,-16.2,0.807,5.79,0.593,36,1
root vegetables,fridge,3,4.8,0.284,2.27,0.631,20,0
bread,pantry,4,23.1,0.222,7.27,0.577,2,0
root vegetables,fridge,5,3.7,0.238,3.02,0.873,21,0
yogurt,freezer,3,-19.1,0.736,5.57,0.538,35,0
packaged snacks,pantry,4,19.2,0.0,1.73,0.555,38,1
yogurt,fridge,2,3.8,0.817,6.85,0.236,9,1
chicken (raw),fridge,1,1.2,0.714,9.83,0.243,2,0
berries,fridge,4,2.4,0.807,8.82,0.856,6,0
banana,fridge,5,6.0,0.582,8.34,0.532,4,0
root vegetables,freezer,2,-18.7,0.305,2.92,0.242,73,0
leafy greens,fridge,3,2.0,0.851,9.29,0.486,6,1
bread,pantry,6,22.1,0.162,7.12,0.162,2,1
root vegetables,fridge,5,4.8,0.26,3.1,0.603,24,0
citrus,fridge,2,4.2,0.363,4.59,0.626,12,0
fish (raw),fridge,3,5.7,0.7,8.83,0.51,2,0
berries,fridge,3,3.8,0.852,8.6,0.305,6,1
tomato,fridge,3,3.1,0.668,7.61,0.541,7,0
eggs,fridge,7,4.5,0.223,2.48,0.814,27,0
packaged snacks,pantry,2,19.7,0.022,1.0,0.496,41,0
tomato,fridge,2,4.2,0.748,6.93,0.576,6,0
eggs,pantry,1,22.2,0.274,1.77,0.228,17,0
yogurt,freezer,1,-17.4,0.773,7.56,0.522,35,0
apple,fridge,3,1.9,0.53,4.15,0.597,23,0
chicken (raw),freezer,4,-15.7,0.626,10.0,0.569,7,1
root vegetables,fridge,3,0.1,0.282,2.72,0.549,21,0
packaged snacks,freezer,4,-20.7,0.106,1.0,0.221,327,1
chicken (raw),fridge,4,4.0,0.596,9.8,0.538,2,0
leafy greens,pantry,3,22.9,0.83,9.59,0.346,3,1
tomato,fridge,2,3.8,0.716,6.58,0.622,7,0
fish (raw),fridge,2,5.4,0.698,10.0,0.757,2,0
chicken (raw),fridge,3,5.8,0.54,10.0,0.894,2,0
chicken (raw),fridge,5,4.1,0.662,9.61,1.0,2,0
berries,pantry,3,24.6,0.77,9.01,0.498,2,0
packaged snacks,pantry,5,20.2,0.013,1.0,0.607,37,0
leafy greens,fridge,3,5.8,0.825,9.33,0.673,5,0
cooked leftovers,fridge,5,3.2,0.652,9.74,0.262,2,1
packaged snacks,pantry,1,22.5,0.131,1.0,0.541,38,0
packaged snacks,pantry,1,21.5,0.104,1.0,0.89,56,0
eggs,fridge,1,0.3,0.189,2.43,0.863,24,0
banana,pantry,3,22.6,0.576,8.11,0.649,2,0
tomato,fridge,4,1.8,0.712,6.97,0.774,6,0
apple,fridge,9,3.7,0.441,3.88,0.21,24,0
banana,fridge,2,2.7,0.578,8.49,0.577,6,0
milk,freezer,6,-19.4,0.851,8.36,0.361,25,0
leafy greens,freezer,2,-17.0,0.84,9.58,0.633,18,0
leafy greens,fridge,3,4.4,0.839,9.01,0.878,6,0
bread,fridge,8,4.9,0.362,8.06,0.464,4,0
berries,fridge,1,5.3,0.797,9.53,0.9,5,0
bread,fridge,1,2.8,0.338,6.71,0.147,6,0
chicken (raw),fridge,3,4.9,0.65,9.76,0.835,2,0
bread,fridge,3,5.3,0.354,6.74,0.592,4,0
fish (raw),freezer,3,-19.6,0.676,9.66,0.433,7,0
tomato,pantry,3,23.0,0.661,6.02,0.499,3,0
root vegetables,pantry,1,24.2,0.246,3.26,0.592,11,0
root vegetables,fridge,2,5.9,0.179,3.82,0.573,17,0
cheese,fridge,2,1.7,0.453,2.45,0.961,23,0
root vegetables,freezer,5,-18.4,0.283,3.79,0.49,74,0
tomato,fridge,4,3.9,0.695,6.82,0.693,7,0
milk,freezer,2,-17.6,0.917,8.62,0.794,23,0
packaged snacks,pantry,4,20.5,0.057,1.0,0.147,41,1
milk,freezer,2,-19.4,0.931,8.47,0.888,25,0
banana,fridge,3,3.8,0.481,8.14,0.876,4,0
apple,fridge,1,5.7,0.5,4.19,0.558,22,0
bread,freezer,1,-15.9,0.28,6.52,0.28,18,0
rice (cooked),pantry,4,25.1,0.632,7.35,0.724,3,0
cooked leftovers,fridge,1,2.2,0.59,8.97,0.335,3,1
citrus,fridge,2,4.1,0.335,3.68,0.539,17,0
eggs,pantry,4,20.4,0.236,2.51,0.817,13,0
yogurt,freezer,1,-20.0,0.788,6.13,0.143,34,1
leafy greens,pantry,1,22.0,0.809,8.89,0.477,3,0
eggs,fridge,5,6.3,0.228,2.53,0.877,29,0
fish (raw),fridge,2,4.5,0.649,9.9,0.361,2,0
cooked leftovers,freezer,1,-14.7,0.654,8.98,0.5,10,0
tomato,freezer,3,-19.9,0.666,6.92,0.841,25,0
bread,freezer,3,-19.6,0.333,7.1,0.561,18,0
root vegetables,fridge,6,4.6,0.165,3.25,0.591,21,0
cooked leftovers,pantry,1,23.6,0.545,8.45,0.487,1,1
citrus,pantry,1,23.9,0.332,3.66,0.267,8,1
eggs,pantry,2,22.6,0.179,2.12,0.653,12,0
banana,freezer,2,-19.7,0.615,8.09,0.261,18,1
yogurt,freezer,4,-17.7,0.764,5.22,0.526,37,0
cooked leftovers,fridge,2,8.1,0.631,9.57,0.278,3,1
leafy greens,pantry,4,22.7,0.886,9.42,0.563,4,0
leafy greens,fridge,4,3.6,0.824,8.78,0.294,5,0
eggs,fridge,3,2.1,0.206,2.46,0.587,20,0
milk,freezer,1,-17.0,0.872,8.27,0.167,24,1
banana,fridge,1,6.4,0.614,7.96,0.329,4,1
rice (cooked),freezer,4,-20.7,0.597,6.2,0.497,14,0
fish (raw),fridge,6,6.7,0.804,10.0,0.482,2,0
chicken (raw),fridge,2,6.1,0.642,10.0,0.543,2,1
leafy greens,fridge,2,3.7,0.867,9.09,0.534,5,0
berries,fridge,3,3.0,0.825,8.43,0.863,5,0
milk,fridge,4,1.5,0.95,7.96,0.838,7,0
cooked leftovers,fridge,2,3.4,0.612,9.6,0.934,3,0
leafy greens,fridge,2,2.9,0.841,9.15,0.481,6,1
yogurt,fridge,1,5.1,0.788,6.7,0.814,12,0
yogurt,fridge,2,3.6,0.766,6.37,0.456,9,0
berries,fridge,5,2.8,0.742,9.01,0.393,4,0
berries,fridge,3,3.7,0.805,9.1,0.123,5,1
yogurt,fridge,2,5.0,0.729,5.88,0.865,11,0
milk,fridge,1,2.3,0.902,7.85,0.824,7,0
packaged snacks,pantry,4,20.1,0.0,1.0,0.827,45,0
leafy greens,fridge,3,3.7,0.878,9.32,0.992,5,0
fish (raw),freezer,4,-19.3,0.687,10.0,0.867,7,0
milk,fridge,5,6.0,0.848,7.82,0.787,7,0
cheese,freezer,3,-19.1,0.297,3.23,0.965,69,0
fish (raw),fridge,6,4.4,0.651,9.4,0.836,2,0
packaged snacks,pantry,1,23.8,0.057,1.0,0.246,58,1
tomato,pantry,6,25.7,0.633,6.83,0.554,4,0
leafy greens,pantry,2,22.7,0.891,8.45,0.863,3,0
fish (raw),fridge,3,5.6,0.667,10.0,0.509,2,0
tomato,fridge,3,3.8,0.728,6.77,0.86,6,0
milk,fridge,5,5.0,0.934,7.82,0.821,7,0
leafy greens,fridge,1,2.1,0.925,9.56,0.755,3,0
chicken (raw),fridge,2,5.0,0.72,9.99,0.591,2,0
berries,pantry,3,22.3,0.841,9.32,0.551,2,0
apple,fridge,4,3.3,0.439,4.29,0.637,21,0
tomato,pantry,1,23.1,0.625,8.14,0.342,5,0
fish (raw),fridge,2,2.2,0.733,9.99,0.954,2,0
yogurt,fridge,4,4.0,0.674,5.35,0.85,7,0
banana,freezer,5,-16.7,0.526,8.03,0.869,17,0
apple,pantry,6,23.0,0.428,4.48,0.281,12,1
root vegetables,fridge,5,3.5,0.271,3.82,0.947,22,0
rice (cooked),freezer,6,-18.5,0.588,7.41,0.682,14,0
eggs,fridge,1,6.6,0.178,1.96,0.579,23,0
berries,fridge,1,2.3,0.81,9.35,0.769,4,0
root vegetables,fridge,2,1.5,0.257,2.79,0.306,18,1
milk,fridge,5,0.4,0.92,8.74,0.52,6,0
root vegetables,fridge,4,4.7,0.231,2.43,0.652,20,0
root vegetables,fridge,4,2.5,0.263,2.33,0.885,18,0
apple,fridge,5,3.2,0.538,3.71,0.242,23,0
leafy greens,fridge,3,1.9,0.878,9.81,0.142,4,0
milk,freezer,2,-16.4,0.892,8.29,0.613,25,0
milk,fridge,4,4.0,0.876,7.85,0.735,8,0
chicken (raw),fridge,4,2.2,0.524,9.96,0.631,2,1
leafy greens,freezer,1,-16.7,0.875,8.16,0.76,18,0
chicken (raw),fridge,2,3.9,0.572,10.0,0.873,2,0
apple,pantry,3,21.3,0.532,4.03,0.564,12,0
fish (raw),fridge,3,3.0,0.588,9.5,0.613,2,0
tomato,pantry,1,23.2,0.705,6.44,0.441,3,1
fish (raw),fridge,1,0.2,0.616,10.0,0.236,2,0
tomato,fridge,1,3.1,0.721,7.09,0.587,8,0
milk,fridge,5,5.0,0.902,9.2,0.589,6,0
apple,fridge,4,4.1,0.441,4.43,0.582,19,0
apple,pantry,2,21.9,0.444,4.32,0.914,14,0
eggs,pantry,3,21.6,0.241,1.0,0.516,12,0
packaged snacks,freezer,3,-18.4,0.036,1.94,0.766,297,0
cooked leftovers,pantry,2,22.2,0.532,8.87,0.797,2,0
yogurt,fridge,1,4.6,0.776,5.32,0.583,11,0
packaged snacks,freezer,5,-20.0,0.0,1.0,0.848,319,0
berries,fridge,2,4.1,0.759,8.77,0.479,5,0
tomato,fridge,1,1.3,0.718,7.54,0.567,6,0
chicken (raw),fridge,3,2.4,0.671,10.0,0.628,2,0
leafy greens,fridge,6,4.7,0.806,8.81,0.633,5,0
banana,fridge,6,1.5,0.527,8.52,0.459,5,0
milk,fridge,7,1.9,0.982,9.08,0.63,7,0
chicken (raw),freezer,4,-18.1,0.617,10.0,0.521,7,0
tomato,fridge,3,3.6,0.661,6.39,0.695,7,0
cheese,fridge,1,5.2,0.386,2.92,0.604,23,0
citrus,fridge,3,3.8,0.465,5.62,0.846,12,0
leafy greens,fridge,6,2.9,0.879,9.02,0.536,5,0
fish (raw),fridge,1,5.7,0.691,9.52,0.887,2,0
root vegetables,freezer,3,-17.8,0.248,2.48,0.772,69,0
banana,pantry,2,21.6,0.579,7.94,0.541,2,0
tomato,fridge,5,2.0,0.704,6.6,0.606,8,0
tomato,fridge,4,7.3,0.784,7.35,0.911,7,0
fish (raw),fridge,5,2.7,0.68,10.0,0.531,2,0
yogurt,freezer,3,-18.6,0.757,5.49,0.81,34,1
tomato,fridge,6,0.9,0.62,7.38,0.803,8,0
packaged snacks,pantry,3,21.2,0.093,1.27,0.877,52,0
cheese,fridge,3,8.0,0.273,3.48,0.964,19,0
root vegetables,fridge,3,5.0,0.184,2.1,0.509,18,0
fish (raw),fridge,5,2.5,0.69,9.9,0.768,2,0
cheese,fridge,5,2.3,0.285,2.56,0.222,19,1
yogurt,freezer,9,-18.1,0.678,5.43,0.642,37,0
berries,freezer,1,-18.5,0.882,9.2,0.379,19,1
milk,fridge,3,2.9,0.817,8.33,0.823,7,1
apple,fridge,7,3.1,0.448,4.07,0.732,16,0
packaged snacks,fridge,3,6.8,0.104,1.0,0.53,90,0
apple,pantry,1,23.5,0.397,4.81,0.594,10,0
milk,fridge,6,3.4,0.871,7.82,0.742,6,0
packaged snacks,pantry,1,22.7,0.13,1.0,0.796,75,0
fish (raw),fridge,5,3.1,0.672,10.0,0.521,3,0
milk,fridge,3,3.4,0.769,8.06,0.765,7,0
apple,fridge,1,5.4,0.352,3.88,0.958,23,0
leafy greens,fridge,3,2.4,0.888,8.25,0.804,5,0
fish (raw),fridge,5,4.0,0.68,9.96,0.658,2,0
tomato,fridge,1,5.7,0.749,7.78,0.605,6,1
cooked leftovers,freezer,3,-15.1,0.631,9.11,0.843,11,0
bread,fridge,3,5.8,0.394,7.37,0.814,5,0
milk,fridge,3,4.0,0.882,7.72,0.154,6,1
tomato,fridge,2,5.1,0.735,8.13,0.547,7,0
milk,freezer,4,-18.8,0.873,8.14,0.753,23,1
leafy greens,pantry,3,24.1,0.782,9.68,0.573,2,0
eggs,pantry,1,24.8,0.229,2.52,0.278,23,0
apple,fridge,3,6.6,0.423,4.7,0.201,22,0
cooked leftovers,fridge,1,5.3,0.538,8.89,0.844,3,0
packaged snacks,pantry,2,21.8,0.0,1.41,0.714,63,0
leafy greens,fridge,2,2.2,0.852,8.93,0.677,5,0
eggs,freezer,1,-20.8,0.245,1.18,0.956,99,0
citrus,freezer,2,-19.8,0.485,3.6,0.536,51,0
packaged snacks,pantry,3,22.6,0.0,1.21,0.867,55,0
yogurt,fridge,1,1.5,0.659,5.94,0.382,10,1
eggs,fridge,3,5.5,0.229,2.22,0.851,27,0
cooked leftovers,freezer,6,-18.0,0.533,9.19,0.445,10,0
fish (raw),fridge,1,4.7,0.73,9.99,0.458,2,0
bread,fridge,3,3.8,0.453,6.33,0.237,6,0
banana,fridge,4,3.4,0.554,8.28,0.537,5,0
apple,fridge,3,4.5,0.434,3.72,0.865,22,0
berries,freezer,6,-17.2,0.832,9.06,0.125,17,0
rice (cooked),fridge,1,2.7,0.625,8.03,0.283,4,0
yogurt,fridge,1,2.4,0.713,6.01,0.387,10,1
citrus,pantry,4,25.3,0.373,3.34,0.936,5,0
root vegetables,fridge,4,3.0,0.262,3.22,0.689,26,0
banana,pantry,3,24.3,0.588,7.82,0.283,3,1
banana,fridge,2,5.2,0.54,7.27,0.843,4,0
banana,freezer,2,-16.2,0.527,7.92,0.895,16,0
bread,fridge,6,4.0,0.286,7.33,0.538,6,0
citrus,fridge,1,2.9,0.394,3.66,0.636,12,0
cheese,fridge,5,5.4,0.39,3.15,0.546,19,0
leafy greens,fridge,2,3.7,0.859,9.45,0.74,5,0
eggs,fridge,5,3.7,0.22,2.37,0.549,27,0
cooked leftovers,pantry,3,22.2,0.585,8.2,0.798,2,0
rice (cooked),fridge,1,2.5,0.555,7.63,0.436,5,0
bread,pantry,3,21.9,0.326,6.95,0.163,3,0
yogurt,freezer,3,-17.2,0.71,4.89,0.561,34,1
chicken (raw),freezer,7,-17.8,0.668,9.12,0.51,7,0
citrus,fridge,4,1.4,0.354,3.36,0.463,16,0
apple,fridge,1,2.5,0.439,3.14,0.455,16,0
leafy greens,fridge,5,2.4,0.842,8.64,0.622,4,0
eggs,fridge,4,5.2,0.118,1.33,0.77,28,0
root vegetables,freezer,2,-18.1,0.256,3.12,0.208,72,1
cooked leftovers,freezer,5,-17.7,0.623,8.65,0.313,11,0
root vegetables,fridge,3,1.4,0.291,2.52,0.519,21,0
banana,fridge,1,0.8,0.54,7.77,0.925,5,0
yogurt,freezer,3,-16.7,0.69,5.96,0.287,36,1
berries,fridge,1,3.9,0.755,8.43,0.794,4,0
eggs,pantry,3,22.8,0.139,1.18,0.282,15,1
cheese,freezer,2,-18.0,0.303,2.97,0.568,70,1
tomato,fridge,2,5.5,0.713,6.59,0.536,8,0
milk,fridge,3,5.8,0.783,8.02,0.321,7,1
cooked leftovers,pantry,4,26.0,0.64,8.63,0.281,2,0
chicken (raw),fridge,1,3.3,0.628,9.73,0.198,2,0
fish (raw),freezer,2,-19.3,0.671,9.79,0.523,7,0
cheese,fridge,5,5.5,0.337,3.09,0.508,24,0
eggs,pantry,3,22.4,0.129,2.24,0.338,12,1
eggs,pantry,2,23.6,0.198,1.83,0.525,11,0
milk,freezer,1,-17.2,0.887,8.42,0.544,24,0
milk,fridge,2,3.3,0.98,7.3,0.56,7,0
berries,fridge,5,3.2,0.768,8.89,0.19,4,1
yogurt,fridge,3,6.5,0.752,5.94,0.403,8,1
bread,freezer,2,-16.6,0.232,6.22,0.735,17,0
root vegetables,freezer,6,-16.8,0.296,2.9,0.475,76,0
leafy greens,pantry,3,22.4,0.915,9.07,0.541,3,0
apple,pantry,1,22.5,0.333,4.9,0.772,9,0
rice (cooked),pantry,2,23.9,0.61,7.52,0.194,1,0
tomato,freezer,4,-18.7,0.731,7.86,0.199,25,1
leafy greens,pantry,2,21.8,0.864,8.88,0.344,3,1
bread,freezer,2,-16.4,0.323,8.3,0.271,17,1
leafy greens,fridge,6,3.3,0.834,8.34,0.258,4,1
banana,fridge,2,3.4,0.571,8.02,0.238,5,1
citrus,fridge,3,3.6,0.368,3.86,0.512,16,0
rice (cooked),fridge,2,2.8,0.472,5.99,0.344,5,1
yogurt,fridge,5,5.0,0.723,5.28,0.931,10,0
citrus,pantry,5,22.8,0.38,3.66,0.477,9,0
leafy greens,fridge,3,2.0,0.877,9.14,0.442,5,0
berries,pantry,4,21.9,0.841,7.83,0.524,3,0
bread,fridge,1,5.9,0.326,6.92,0.511,5,1
chicken (raw),fridge,4,5.0,0.608,9.49,0.494,2,0
yogurt,fridge,5,4.9,0.805,5.43,0.232,11,0
cheese,fridge,3,3.5,0.375,3.34,0.926,20,0
leafy greens,fridge,7,5.4,0.842,8.4,0.974,5,0
apple,fridge,1,4.4,0.513,3.58,0.806,24,0
milk,fridge,9,5.2,0.881,7.87,0.795,7,0
cheese,freezer,4,-16.3,0.316,2.77,0.545,75,0
root vegetables,pantry,8,26.0,0.25,3.36,0.62,15,0
banana,pantry,4,24.1,0.642,7.68,0.588,1,0
cheese,freezer,5,-16.5,0.367,3.29,0.482,76,0
cheese,fridge,1,4.3,0.344,2.44,0.412,13,1
bread,fridge,4,1.8,0.234,6.4,0.156,5,0
eggs,pantry,6,22.5,0.106,1.97,0.875,17,0
milk,pantry,1,23.5,0.946,8.33,0.655,4,0
root vegetables,fridge,6,5.4,0.225,2.33,0.979,15,0
cooked leftovers,fridge,3,1.4,0.604,9.03,0.852,3,0
root vegetables,fridge,2,3.2,0.226,2.37,0.511,21,0
fish (raw),fridge,1,2.4,0.654,9.47,0.849,2,0
packaged snacks,pantry,6,22.1,0.103,1.0,0.596,47,0
citrus,freezer,2,-18.7,0.388,4.74,0.864,47,0
leafy greens,fridge,1,7.6,0.846,8.87,0.567,5,0
leafy greens,freezer,2,-17.8,0.816,9.59,0.719,16,0
yogurt,fridge,5,3.7,0.792,5.07,0.786,12,0
fish (raw),freezer,2,-20.6,0.666,10.0,0.327,8,0
banana,pantry,2,23.0,0.511,7.9,0.327,3,1
leafy greens,pantry,7,22.4,0.869,9.87,0.781,3,0
root vegetables,fridge,2,4.5,0.229,3.02,0.447,23,0
banana,fridge,3,3.2,0.575,8.99,0.853,4,0
bread,pantry,1,23.1,0.342,6.88,0.853,2,0
yogurt,freezer,1,-21.9,0.741,5.32,0.779,36,0
cheese,freezer,6,-19.0,0.232,3.52,0.849,75,0
root vegetables,fridge,3,6.8,0.344,3.0,0.588,17,0
cooked leftovers,fridge,3,7.1,0.588,9.34,0.518,3,0
milk,fridge,1,4.6,0.949,7.57,0.838,7,0
apple,fridge,5,5.7,0.451,3.56,0.591,25,0
packaged snacks,pantry,7,25.1,0.051,1.0,0.928,49,0
cheese,fridge,2,3.2,0.358,3.56,0.88,23,0
root vegetables,pantry,1,23.5,0.207,3.2,0.325,9,1
cheese,fridge,3,3.5,0.427,3.15,0.902,24,0
tomato,fridge,2,6.1,0.668,6.64,0.74,7,0
chicken (raw),fridge,6,4.3,0.708,10.0,0.605,2,1
